open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field,fundingTime,fundingRate
1567987200000,10316.62,10475.54,9884.31,10302.22,110846.484,1568591999999,1137433786.19858,140853,56359.989,577683136.47159,0,,
1568592000000,10302.0,10353.81,9530.02,10023.04,160591.544,1569196799999,1623793990.17112,233167,71504.827,724094879.33591,0,1568592000000.0,0.0001
1569196800000,8061.98,10046.91,7700.67,8041.96,279795.272,1569801599999,2381853266.98139,512952,142526.02999999997,1210814475.95072,0,1569196800000.0,0.0001
1569801600000,8042.08,8499.0,7709.01,7852.79,257976.889,1570406399999,2096919861.64925,592486,120929.731,982896241.41594,0,1569801600000.0,0.0001
1570406400000,7851.01,8788.0,7764.42,8274.66,367955.166,1571011199999,3060695890.24249,662256,170408.031,1417759276.63311,0,1570377600000.0,2.715e-05
1571011200000,8274.33,8408.62,7812.0,8218.23,508975.286,1571615999999,4112166660.38064,682480,257908.502,2082777361.24802,0,1570953600000.0,0.0001
1571616000000,8218.23,10408.48,7172.76,9533.32,881463.175,1572220799999,7611110161.83009,1665985,436997.797,3775512636.34235,0,1570953600000.0,0.0001
1572220800000,9534.37,9930.13,8933.0,9197.88,697075.617,1572825599999,6475968907.10838,1660927,343081.683,3187938437.52324,0,1570953600000.0,0.0001
1572825600000,9197.86,9550.0,8669.85,9041.31,665125.812,1573430399999,6065260689.72447,1641652,327838.62,2990080094.61898,0,1570953600000.0,0.0001
1573430400000,9041.31,9072.91,8355.78,8504.04,632991.917,1574035199999,5477403362.64472,1737803,310880.213,2690354586.97929,0,1570953600000.0,0.0001
1574035200000,8504.13,8504.71,6762.73,6900.86,1196506.081,1574639999999,9036318235.87462,3193495,583231.997,4403298961.03854,0,1570953600000.0,0.0001
1574640000000,6899.77,7850.0,6510.19,7387.38,1524870.441,1575244799999,11121393203.03915,4023316,757768.014,5526771664.50809,0,1570953600000.0,0.0001
1575244800000,7388.0,7800.0,7070.0,7508.2,983668.839,1575849599999,7236505932.52516,2452730,491851.696,3619326094.14308,0,1570953600000.0,0.0001
1575849600000,7507.87,7676.48,7004.77,7115.0,766967.38,1576454399999,5552510758.78743,1777669,377667.845,2734471177.6196,0,1570953600000.0,0.0001
1576454400000,7115.45,7517.61,6427.0,7502.92,1031936.164,1577059199999,7204458096.39557,2154923,516069.872,3604864842.77031,0,1570953600000.0,0.0001
1577059200000,7502.92,7691.0,7078.89,7383.67,901439.862,1577663999999,6607150848.22372,1686644,444800.793,3260617772.81293,0,1570953600000.0,0.0001
1577664000000,7383.68,7495.0,6863.44,7354.36,774521.268,1578268799999,5618738819.00489,1493631,384138.418,2787113676.91295,0,1570953600000.0,0.0001
1578268800000,7354.36,8468.42,7345.0,8186.7,1484603.363,1578873599999,11862697985.79407,3003452,740698.969,5918215531.00936,0,1570953600000.0,0.0001
1578873600000,8186.22,9205.3,8053.78,8705.85,1316693.038,1579478399999,11486210677.76207,2623208,654350.163,5708428900.47809,0,1570953600000.0,0.0001
1579478400000,8705.98,8820.0,8247.0,8611.21,850097.409,1580083199999,7243371333.21604,1679263,420843.437,3586177040.9429,0,1570953600000.0,0.0001
1580083200000,8611.21,9599.0,8565.0,9338.2,1180388.341,1580687999999,10897457181.97727,2329074,589144.758,5438694592.08477,0,1570953600000.0,0.0001
1580688000000,9340.49,10184.34,9105.0,10167.38,1122176.4,1581292799999,10809755525.88637,2103415,563386.569,5428270075.84094,0,1570953600000.0,0.0001
1581292800000,10167.37,10540.0,9626.64,9921.86,1171759.356,1581897599999,11857775580.72554,2421080,577276.068,5843844394.16569,0,1570953600000.0,0.0001
1581897600000,9921.87,10286.0,9293.07,9943.12,936567.255,1582502399999,9151877178.63336,2171327,457970.255,4476733961.09529,0,1570953600000.0,0.0001
1582502400000,9943.12,10000.0,8409.0,8537.84,1268174.767,1583107199999,11395800075.95179,2813697,611561.423,5492818352.48125,0,1570953600000.0,0.0001
1583107200000,8537.84,9204.0,7997.7,8038.46,1065944.442,1583711999999,9378258735.51471,2096682,519507.038,4573591545.7661,0,1570953600000.0,0.0001
1583712000000,8038.99,8182.31,3621.81,5357.32,3204795.803,1584316799999,19723076870.75727,7148267,1586736.645,9755787544.97805,0,1570953600000.0,0.0001
1584316800000,5354.81,6911.0,4413.62,5810.17,3303441.243,1584921599999,18755836036.16593,7854650,1738336.872,9876806940.43745,0,1570953600000.0,0.0001
1584921600000,5810.3,6960.71,5670.0,5876.27,2461138.433,1585526399999,15813977439.53752,6608289,1269606.29,8156918745.94197,0,1570953600000.0,0.0001
1585526400000,5876.27,7290.0,5850.0,6768.9,2542714.864,1586131199999,16799444395.07437,7095548,1329176.395,8781865599.01499,0,1570953600000.0,0.0001
1586131200000,6768.9,7457.0,6741.0,6900.52,2493042.328,1586735999999,17737247768.92535,7236227,1269051.668,9029711141.51054,0,1570953600000.0,0.0001
1586736000000,6900.19,7290.0,6465.33,7118.03,2263527.378,1587340799999,15664252598.20838,6977764,1165091.251,8064726091.43182,0,1570953600000.0,0.0001
1587340800000,7118.04,7802.38,6735.95,7694.17,2303688.83,1587945599999,16683264490.56768,6655909,1183074.69,8567959967.29981,0,1570953600000.0,0.0001
1587945600000,7693.63,9479.77,7623.98,8900.0,3488311.037,1588550399999,30009015475.17197,9211422,1734726.905,14908226781.98152,0,1570953600000.0,0.0001
1588550400000,8899.99,10080.0,7940.0,8719.53,3809614.655,1589155199999,35097428321.89688,10476225,1867270.924,17203078368.05691,0,1570953600000.0,0.0001
1589155200000,8723.23,9950.0,8151.12,9678.57,3249863.08,1589759999999,29884058732.49784,9253428,1656351.444,15232962723.86894,0,1570953600000.0,0.0001
1589760000000,9677.31,9958.67,8674.0,8711.37,2353150.109,1590364799999,22076033522.29989,6562508,1185015.643,11120995675.53155,0,1570953600000.0,0.0001
1590364800000,8711.37,9753.0,8623.38,9446.43,1892020.349,1590969599999,17418894039.73936,5009569,971729.43,8944901227.75874,0,1570953600000.0,0.0001
1590969600000,9446.49,10497.25,9264.15,9743.92,1781429.763,1591574399999,17279387849.66806,5080899,899878.94,8732027989.00245,0,1570953600000.0,0.0001
1591574400000,9743.92,10015.99,9055.07,9339.61,1433222.938,1592179199999,13737501967.45577,4019761,703219.647,6740614813.22389,0,1570953600000.0,0.0001
1592179200000,9339.7,9595.0,8888.43,9293.51,1509977.518,1592783999999,14104826853.24407,4162171,774315.036,7235475983.16459,0,1570953600000.0,0.0001
1592784000000,9293.39,9795.0,8816.4,9114.0,1639283.625,1593388799999,15242087118.98425,4340006,818673.235,7610640701.62393,0,1570953600000.0,0.0001
1593388800000,9114.01,9293.0,8900.0,9071.86,1049228.403,1593993599999,9572006295.19694,3088343,509155.23,4646626012.11711,0,1570953600000.0,0.0001
1593993600000,9071.87,9470.0,9058.1,9300.69,1029744.937,1594598399999,9544961069.85231,3035663,521759.894,4837647525.60368,0,1570953600000.0,0.0001
1594598400000,9300.7,9345.0,9044.02,9210.51,737747.854,1595203199999,6779204573.19372,2192407,351003.012,3225968412.00837,0,1570953600000.0,0.0001
1595203200000,9210.68,10300.0,9131.01,9939.69,1074581.53,1595807999999,10282042941.73833,3607030,535592.981,5126802324.29541,0,1570953600000.0,0.0001
1595808000000,9939.68,12154.25,9928.61,11079.72,3017281.552,1596412799999,33414097727.9317,8590415,1487886.141,16471790982.40918,0,1570953600000.0,0.0001
1596412800000,11080.7,11920.0,10923.0,11685.99,1492775.024,1597017599999,17218298399.10798,4747043,701876.781,8096889459.20694,0,1570953600000.0,0.0001
